NAME,ACE,DF,FSP,FSPW,SSPW,NPW,NUM_APP,RPW,BP,BPC,WINNER,UE,W2UE_RAT,DIST,TIME,MOVE_EFF
FEDERER,0.32,0.38,0.68,0.82,0.63,0.74,0.48,0.4,0.43,0.39,0.41,0.33,0.58,0.42,0.41,0.51
CILIC,0.68,0.62,0.62,0.84,0.58,0.71,0.52,0.41,0.57,0.43,0.59,0.67,0.42,0.58,0.59,0.49
