NAME,ACE,DF,FSP,FSPW,SSPW,NPW,NUM_APP,RPW,BP,BPC,WINNER,UE,W2UE_RAT,DIST,TIME,MOVE_EFF
FEDERER,60,10,0.68,0.82,0.63,0.74,136,0.4,48,0.39,224,67,3.34,7990.3,9:56,13.41
CILIC,127,16,0.62,0.84,0.58,0.71,148,0.41,63,0.43,327,138,2.37,11033.6,14:28,12.71
